Clip Gauge Length (mm)	Force (kN)
39.97440774	0.86658543
39.97442827	0.87092274
39.97446349	0.86618763
39.97452541	0.86880869
39.97449678	0.86516196
39.97456806	0.87192345
39.97453391	0.87660807
39.97449342	0.87097323
39.9745359	0.86879635
39.97455554	0.87133086
39.97452126	0.87286544
39.97460413	0.87589794
39.97449986	0.8756125
39.97466797	0.87701511
39.97470935	0.88006496
39.97471634	0.87238622
39.97469704	0.87161016
39.97467019	0.8851167
39.974734	0.89094424
39.9747123	0.88792431
39.97474473	0.88378799
39.97482513	0.88726062
39.97477734	0.89825916
39.97481238	0.88593811
39.97484313	0.90172666
39.97490714	0.89761919
39.97479314	0.89397985
39.97489854	0.89109576
39.97480744	0.89958996
39.97484783	0.8997252
39.97496659	0.90459532
39.97490567	0.90160298
39.97499265	0.90600932
39.97489665	0.91042078
39.97499416	0.9064731
39.97502975	0.90537548
39.97506074	0.90897876
39.97516813	0.91759068
39.97508646	0.90977257
39.97508512	0.91205454
39.97506277	0.91461277
39.9750579	0.91918403
39.97512211	0.91687727
39.97525432	0.91445094
39.97510957	0.92012316
39.97517029	0.9182874
39.97518846	0.92555285
39.97520032	0.92287099
39.97533287	0.92866659
39.97526855	0.92371815
39.97523419	0.92243707
39.97521558	0.92439628
39.9753208	0.92084455
39.97528765	0.92882735
39.97526999	0.93344933
39.97531789	0.93875331
39.97537494	0.93552524
39.97531939	0.93917894
39.97540312	0.94273609
39.97542386	0.93745351
39.97535546	0.94239467
39.97558926	0.94402331
39.97549933	0.94246686
39.97545506	0.94591367
39.97553776	0.95487887
39.97552106	0.94738537
39.97549682	0.94969004
39.97557019	0.95394003
39.97563503	0.95037359
39.97555898	0.95965934
39.97564555	0.95271438
39.97563256	0.95446765
39.97555086	0.95368749
39.97571135	0.95500976
39.97562217	0.96259165
39.97555507	0.96445733
39.97567782	0.95957381
39.97574083	0.95965832
39.97585518	0.96937406
39.97574937	0.96531582
39.9757923	0.96760219
39.97572143	0.97122091
39.97579542	0.97726202
39.97574025	0.97363585
39.97587174	0.97627777
39.97580611	0.98153645
39.97579531	0.99066037
39.97597991	0.98212802
39.97594782	0.97911841
39.97594281	0.99111998
39.97588329	0.99123955
39.97601728	0.98793828
39.97597398	0.98260826
39.97603957	0.99656928
39.97599921	0.9973219
39.97604193	1.0003501
39.97606134	0.99234051
39.97601197	0.99992132
39.97611966	0.9955892
39.97608592	0.99637347
39.97606014	1.0092884
39.97618319	1.0118653
39.97610999	1.0030209
39.97616073	1.0038041
39.97614952	1.0143101
39.97618483	1.0112325
39.97628111	1.0065644
39.97623739	1.0144966
39.97619975	1.028831
39.97631491	1.0206329
39.9763625	1.0266932
39.9762569	1.0262923
39.97632537	1.0270746
39.9762904	1.0257833
39.97634059	1.0230107
39.97635983	1.0295967
39.97641853	1.0307914
39.9764561	1.0340052
39.97647253	1.0385848
39.97658135	1.038656
39.97645339	1.0369501
39.97658358	1.0324074
39.97666569	1.0480486
39.97654871	1.0427786
39.97665215	1.0502967
39.97656283	1.0409762
39.97662842	1.0480939
39.97669134	1.0512451
39.97665811	1.0487661
39.97684247	1.049062
39.97662873	1.0655936
39.97664073	1.0560523
39.97679707	1.0647619
39.97677345	1.0572841
39.97680109	1.0559667
39.97676022	1.0657533
39.97674959	1.0633631
39.97686949	1.064327
39.97685173	1.0721668
39.97683883	1.0671573
39.97692194	1.0676664
39.97687658	1.0702784
39.97689822	1.0699816
39.97696905	1.069692
39.97699243	1.0760008
39.97702072	1.0878049
39.97701424	1.0796353
39.97709197	1.0774151
39.97706598	1.0887221
39.97704602	1.0925822
39.97711552	1.0932294
39.97708024	1.0900868
39.97715971	1.0966935
39.97715389	1.0946455
39.97719133	1.0886211
39.97714946	1.0897815
39.97718481	1.0924957
39.9771987	1.099924
39.97721783	1.0956918
39.97715265	1.0950044
39.97718251	1.1104993
39.97728249	1.1126862
39.97741789	1.1033863
39.97726326	1.1128132
39.97736149	1.1177884
39.97734013	1.1219268
39.97733382	1.1113082
39.97737318	1.1201559
39.97752626	1.1245602
39.97745378	1.1203889
39.97742677	1.1165329
39.97757317	1.1300693
39.97751293	1.1310549
39.97749825	1.1381358
39.97751577	1.1266701
39.97758777	1.1387594
39.9775385	1.1425236
39.97763598	1.1377308
39.97756926	1.1276481
39.97758047	1.1418496
39.97768243	1.1404415
39.97765014	1.1404704
39.97770695	1.1468701
39.97777309	1.1505651
39.97773685	1.145492
39.97776013	1.1457177
39.97779215	1.1495408
39.97780147	1.1571332
39.97795285	1.1488409
39.97777151	1.1476926
39.97785369	1.1593366
39.9779368	1.1597934
39.97791966	1.1588542
39.97788194	1.1628525
39.97790241	1.1710334
39.97786576	1.1658024
39.97795751	1.1718487
39.97791496	1.1648872
39.97797973	1.1768352
39.97801706	1.175144
39.97805238	1.1723042
39.97801634	1.1692945
39.97802659	1.1783143
39.97811642	1.1760787
39.97809355	1.1751841
39.97807435	1.1802727
39.97815774	1.1883475
39.97811728	1.1802088
39.97824414	1.185282
39.97814159	1.1879196
39.97827661	1.1941534
39.9782667	1.1911923
39.97827126	1.1888298
39.97818482	1.1960222
39.97829296	1.192294
39.97831871	1.1964972
39.97832951	1.2036141
39.97829241	1.207123
39.9783581	1.2002128
39.97838042	1.2119632
39.97837768	1.2162366
39.97847725	1.2093679
39.978472	1.2158077
39.97849734	1.2131969
39.97850622	1.2177383
39.97844251	1.2130671
39.97851331	1.2179968
39.97852261	1.2189186
39.9785501	1.2260449
39.97853515	1.221915
39.97859118	1.2266954
39.97865653	1.2305841
39.97868961	1.2388887
39.97866534	1.2250111
39.97870898	1.2439505
39.97870597	1.2436816
39.9786713	1.2425613
39.97884633	1.2357727
39.97872403	1.2446464
39.9787587	1.2430632
39.97874053	1.2486032
39.97880039	1.2443751
39.97884678	1.257851
39.97882075	1.2550236
39.97882209	1.2557906
39.97889797	1.2518511
39.97890136	1.2555237
39.97892893	1.2573334
39.9789113	1.2607174
39.9789485	1.260872
39.97896877	1.2703556
39.97898251	1.2629211
39.97894768	1.2724624
39.97903511	1.2685013
39.97904656	1.283861
39.97903394	1.2788024
39.9790443	1.2809401
39.97904807	1.2861049
39.97905054	1.2810287
39.97914023	1.2895683
39.97912322	1.2910039
39.97912933	1.2864028
39.97915761	1.2885169
39.97919615	1.2889129
39.97906199	1.2886343
39.97917033	1.2922605
39.97916906	1.2885405
39.97926613	1.298085
39.97928817	1.2986201
39.97924651	1.3059402
39.97929626	1.2978922
39.97922498	1.3016328
39.97939024	1.3082284
39.97917907	1.3100208
39.97932187	1.3079728
39.97942048	1.2974325
39.97931279	1.3010134
39.97942034	1.3239293
39.97942233	1.3171287
39.97928275	1.3165048
39.97950825	1.3288242
39.97949498	1.3196559
39.97942576	1.3244487
39.97953019	1.3161318
39.97947242	1.3292612
39.97951158	1.3272533
39.97947033	1.3195571
39.9795387	1.3281841
39.97954926	1.3282316
